http://www.nbcnews.com/feature/missing-in-america/mother-fears-human-trafficking-disappearance-daughter-alexis-say-miami-n720361,85939,80,text/html; charset=utf-8
http://www.nbcnews.com/news/world/amp/iraq-launches-offensive-re-take-part-mosul-isis-prime-minister-n722916,38539,28,text/html; charset=utf-8
http://www.nbcnews.com/feature/nbc-out/new-series-other-boys-shines-spotlight-lgbtq-men-color-n722231,89980,84,text/html; charset=utf-8
http://www.nbcnews.com/video/why-hurricanes-are-so-devestating-781432387914,321356,142,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/amp/u-s-urged-ecuador-act-against-assange-n669271,43043,25,text/html; charset=utf-8
http://www.nbcnews.com/feature/nbc-out/berlinale-2017-lgbtq-films-shine-global-festival-n718411,93466,93,text/html; charset=utf-8
http://www.nbcnews.com/business/consumer/who-will-end-your-parents-stuff-if-it-s-you-n721646,110353,88,text/html; charset=utf-8
http://www.nbcnews.com/watch/30-seconds-to-know/what-are-flash-floods-451578435928,67342,72,text/html; charset=UTF-8
http://www.nbcnews.com/feature/debunker/video/the-perception-vs-reality-of-violent-crime-in-america-746016835580,360412,138,text/html; charset=utf-8
http://www.nbcnews.com/news/photo,128711,133,text/html; charset=utf-8
http://www.nbcnews.com/slideshow/powerful-california-storms-leave-thousands-without-power-n723011,93173,73,text/html; charset=utf-8
http://www.nbcnews.com/storyline/isis-uncovered/discarded-isis-receipts-offer-glimpse-former-life-mosul-n716571,107988,85,text/html; charset=utf-8
http://www.nbcnews.com/nightly-news/video/louisville-kentucky-sees-spike-in-heroin-overdoses-876423747884,497816,168,text/html; charset=utf-8
http://www.nbcnews.com/storyline/robert-durst,148660,106,text/html; charset=utf-8
http://www.nbcnews.com/news/sports/report-movie-about-brady-deflategate-super-bowl-li-works-n721606,72140,75,text/html; charset=utf-8
http://www.nbcnews.com/news/asian-america/60-year-old-grandfather-killed-security-guard-while-playing-pokemon-n715311,99768,88,text/html; charset=utf-8
http://www.nbcnews.com/News/world,126583,134,text/html; charset=utf-8
http://www.nbcnews.com/video/fat-girl-running-on-a-mission-to-challenge-stereotypes-527558211623,322288,142,text/html; charset=utf-8
http://www.nbcnews.com/card/virtual-democracy-plaza-watch-full-steve-kornacki-vr-event-n657596,151712,154,text/html; charset=utf-8
http://www.nbcnews.com/feature/nbc-out/controversial-twinks4trump-founder-joins-white-house-press-corps-n722791,106418,92,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/robert-durst-case-hearing-focuses-mystery-1982-phone-call-n720996,105453,86,text/html; charset=utf-8
http://www.nbcnews.com/storyline/robert-durst/robert-durst-lawyer-slams-d-releasing-jinx-star-s-interrogation-n697886,107370,89,text/html; charset=utf-8
http://www.nbcnews.com/news/africa,126798,127,text/html; charset=utf-8
http://www.nbcnews.com/video/broken-dam-floods-homes-in-nevada-873179715939,320886,142,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/doctors-can-ask-patients-about-guns-florida-federal-court-rules-n722301,96369,82,text/html; charset=utf-8
http://www.nbcnews.com/watch/nbcnews-com/gluten-unmasked-dr-nancy-debunks-the-pesky-protein-198351427620,68559,73,text/html; charset=UTF-8
http://www.nbcnews.com/feature/nbc-out/glaad-announces-award-nominees-calls-out-hollywood-n714811,81743,82,text/html; charset=utf-8
http://www.nbcnews.com/feature/nbc-out/amp/susan-sarandon-says-her-sexual-orientation-grabs-n721856,35124,22,text/html; charset=utf-8
http://www.nbcnews.com/news/nbcblk/bridging-difference-over-dinner-first-100-days-n719886,104709,89,text/html; charset=utf-8
http://www.nbcnews.com/video/oroville-dam-evacuees-wary-of-returning-to-their-homes-877670979805,321732,142,text/html; charset=utf-8
http://www.nbcnews.com/meet-the-press,400377,212,text/html; charset=utf-8
http://www.nbcnews.com/watch/nbcnews-com/debunker-three-myths-about-alzheimers-314854467885,67604,73,text/html; charset=UTF-8
http://www.nbcnews.com/video/car-slides-down-icy-hill-leaving-few-cars-untouched-872823363820,321484,142,text/html; charset=utf-8
http://www.nbcnews.com/business/retirement/here-s-how-much-average-single-person-saved-retirement-n650651,87057,90,text/html; charset=utf-8
http://www.nbcnews.com/news/asian-america/school-underprivileged-girls-teaches-feminist-principles-india-n719691,110239,106,text/html; charset=utf-8
http://www.nbcnews.com/news/us-news/florida-man-charged-trying-blow-target-stores-tank-company-s-n722071,84652,77,text/html; charset=utf-8
http://www.nbcnews.com/video/inside-the-mind-of-mexican-drug-kingpin-el-chapo-605029444002,323466,142,text/html; charset=utf-8
http://www.nbcnews.com/news/asian-america/members-congress-advocates-call-answers-fatal-shooting-grandfather-n721216,102159,94,text/html; charset=utf-8
http://www.nbcnews.com/Politics/first-read,126920,134,text/html; charset=utf-8
